catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem
196948,133.39702644,-0.71001657,133.39702644,-0.71001657,16.873,16.815,0.06222,0.06115,-20.5,3.98,20.41,21.16,22.94,0.7434,13.369995,10.37,1.23,0.105,3,1,GAMA,,,
77610,213.89973281,0.03745938,213.89973281,0.03745938,17.522,17.523,0.05432,0.05342,-19.45,1.28,19.42,20.16,21.95,0.5023,74.639984,9.82,1.08,0.163,3,0,GAMA,,,
376295,132.82563445,1.4570538,132.82563445,1.4570538,17.881,17.737,0.03959,0.03856,-18.46,8.22,23.02,23.77,25.56,0.6876,67.34,8.98,0.5,0.14,3,0,GAMA,,,
346793,135.04775549,2.07782363,135.04775549,2.07782363,16.001,16.011,0.05737,0.05629,-21.07,6.63,21.23,21.97,23.76,0.5792,68.03,10.3,0.85,0.158,8,0,GAMA,,,
599726,132.64242558,0.21456921,132.64242558,0.21456921,17.221,17.129,0.04251,0.04147,-19.27,3.32,20.75,21.5,23.29,0.6478,158.05,9.61,0.86,0.139,8,1,GAMA,,,
143429,175.97818762,-1.26128849,175.97818762,-1.26128849,16.602,16.637,0.0781,0.07679,-21.16,4.28,21.29,22.04,23.83,0.377,105.2,10.4,0.96,0.063,3,0,GAMA,,,
202636,130.61721084,-0.28353658,130.61721084,-0.28353658,17.338,17.302,0.05236,0.05134,-19.57,3.08,20.68,21.42,23.21,0.6804,81.41998,9.73,0.89,0.111,3,0,GAMA,,,
610124,178.83882548,0.3388124,178.83882548,0.3388124,17.103,17.105,0.07965,0.07836,-20.8,4.37,20.47,21.21,23.0,0.8215,57.549988,10.47,1.26,0.08,3,0,GAMA,,,
486834,221.74482813,-1.78888711,221.74482813,-1.78888711,16.896,16.915,0.04425,0.04349,-19.58,5.99,20.79,21.53,23.32,0.8545,160.37,9.75,0.89,0.207,8,0,GAMA,,,
205166,140.7075337,-0.27456318,140.7075337,-0.27456318,17.552,17.544,0.05615,0.055,-19.49,1.83,20.43,21.18,22.97,0.3588,51.770004,9.84,1.08,0.104,3,0,GAMA,,,
536173,180.92864761,-0.9920858,180.92864761,-0.9920858,18.099,18.104,0.04195,0.04071,-18.24,1.34,20.55,21.3,23.08,0.1845,148.92,9.05,0.68,0.082,8,0,GAMA,,,
30346,174.63864908,-1.18449072,174.63864908,-1.18449072,13.655,13.605,0.02244,0.0208,-21.34,11.25,20.48,21.23,23.01,0.3244,40.119995,10.45,0.85,0.063,8,0,GAMA,,,
8570,182.83285894,0.8041979244444445,182.83285894,0.80475348,16.583,16.282,0.02237,0.02072,-18.67,4.8,23.51,24.26,26.05,0.3522,31.709991,9.27,0.7,0.103,8,5,GAMA,,,
209664,134.36889058,0.16765043,134.36889058,0.16765043,18.724,18.73,0.0448,0.04374,-17.72,2.13,22.29,23.03,24.82,0.1007,125.509995,8.68,0.52,0.116,3,0,GAMA,,,
178585,180.85449378,-1.87658081,180.85449378,-1.87658081,18.447,18.575,0.02196,0.02022,-16.34,4.17,22.19,22.94,24.73,0.7398,164.27,8.37,0.75,0.075,8,0,GAMA,,,
77969,215.61508106,0.05833556,215.61508106,0.05833556,18.876,15.004,0.032,0.03115,-20.76,5.17,19.91,20.66,22.44,0.5293,171.56,10.35,1.03,0.13,8,3,GAMA,,,
77967,215.61509409666667,0.05905104,215.61467743,0.05905104,14.872,15.004,0.03254,0.03169,-20.8,5.17,19.91,20.66,22.44,0.5294,171.53,10.37,1.03,0.13,8,5,GAMA,,,
574692,136.73746951,-0.12355013,136.73746951,-0.12355013,15.632,15.606,0.01966,0.01886,-19.05,4.39,20.51,21.26,23.05,0.3653,156.92,9.31,0.59,0.129,8,0,GAMA,,,
418971,138.25462834,2.72026094,138.25462834,2.72026094,18.722,18.682,0.02658,0.0256,-16.63,2.64,22.16,22.91,24.69,0.4571,22.919998,8.28,0.53,0.116,8,0,GAMA,,,
505575,220.3612362,-1.95805491,220.3612362,-1.95805491,18.154,18.073,0.0418,0.04102,-18.24,5.35,23.05,23.8,25.59,0.475,19.149994,8.86,0.47,0.169,3,0,GAMA,,,
227567,214.27809716,1.33206031,214.27809716,1.33206031,17.717,17.473,0.05511,0.05422,-19.5,1.93,20.28,21.03,22.82,0.576,139.95,9.53,0.64,0.141,3,1,GAMA,,,
8217,181.0522247,0.80258008,181.0522247,0.80258008,16.631,16.645,0.01207,0.00967,-16.93,4.14,21.08,21.83,23.61,0.4881,156.51,8.43,0.53,0.089,8,0,GAMA,,,
323224,130.9870486,1.58429284,130.9870486,1.58429284,16.375,16.405,0.01405,0.0135,-17.51,3.45,21.08,21.83,23.62,0.1121,96.43,8.61,0.48,0.169,8,0,GAMA,,,
106363,215.69092355,0.88739516,215.69092355,0.88739516,17.738,17.696,0.05434,0.05348,-19.26,4.23,21.93,22.68,24.46,0.5817,97.01,9.62,0.9,0.103,3,0,GAMA,,,
296969,214.15386057,1.4907521,214.15386057,1.4907521,17.079,16.58,0.10822,0.10729,-22.1,4.08,20.54,21.29,23.07,0.775,146.13,11.33,1.61,0.138,4,1,GAMA,,,
197866,137.44615987,-0.65182195,137.44615987,-0.65182195,16.185,16.201,0.05552,0.05441,-20.81,3.15,20.57,21.32,23.11,0.1566,169.37,10.3,0.98,0.119,8,0,GAMA,,,
300498,129.85013873,1.20661375,129.85013873,1.20661375,17.058,17.014,0.05016,0.04916,-19.77,2.62,21.08,21.83,23.61,0.1176,26.420013,9.95,1.06,0.181,3,0,GAMA,,,
91919,214.2874311,0.60542097,214.2874311,0.60542097,18.53,18.502,0.05428,0.05339,-18.49,2.11,21.43,22.18,23.96,0.5187,137.23999,9.43,1.03,0.134,3,0,GAMA,,,
79098,220.06365229,0.2067817,220.06365229,0.2067817,16.114,16.033,0.00745,0.00624,-16.49,7.31,21.79,22.54,24.33,0.4241,37.729996,8.27,0.54,0.172,8,0,GAMA,,,
220439,181.6315901,1.61662965,181.6315901,1.61662965,15.334,15.307,0.0213,0.01948,-19.51,5.64,20.84,21.59,23.37,0.1834,31.589996,9.54,0.65,0.091,8,0,GAMA,,,
31725,181.09261977,-1.20358178,181.09261977,-1.20358178,18.729,18.654,0.02098,0.01908,-16.13,2.5,22.8,23.55,25.34,0.072,174.95999,8.32,0.8,0.076,8,0,GAMA,,,
77226,212.37280091,0.14367008,212.37280091,0.14367008,16.583,16.589,0.05503,0.05411,-20.43,3.69,20.93,21.69,23.47,0.4243,73.869995,10.32,1.21,0.14,8,0,GAMA,,,
55287,181.36110065,-0.28226126,181.36110065,-0.28226126,17.565,17.571,0.00603,0.00427,-14.48,3.57,22.0,22.75,24.53,0.309,10.959991,7.49,0.58,0.089,8,0,GAMA,,,
