catid,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match
100162,1,3.0,185.79312004,0.93489316,185.79312004,0.93489316,16.666,16.692,0.02701,0.02577,-18.67,2.75,20.24,20.84,22.75,0.4972,47.020004,9.15,0.59,0.096,8.0,0.0,GAMA,,,,False,True,True
100175,1,3.0,185.81839773,0.84313527,185.81839773,0.84313527,18.733,18.71,0.02764,0.02642,-16.67,6.78,22.05,23.05,24.71,0.8984,104.6,8.23,0.43,0.096,8.0,0.0,GAMA,,,,False,True,True
100192,1,3.0,185.92765521,0.96219254,185.92765521,0.96219254,16.089,16.059,0.02541,0.02409,-19.17,5.66,21.83,22.66,24.4,0.08,36.89,9.33,0.55,0.109,8.0,0.0,GAMA,,,,False,True,True
105420,1,2.0,211.73584945,1.0121215,211.73584945,1.0121215,16.115,16.105,0.04903,0.04811,-20.63,2.85,20.19,21.62,23.19,0.1384,176.11,10.38,1.17,0.156,8.0,0.0,GAMA,,,,False,True,True
105447,1,1.5,211.77308012,0.85639398,211.77308012,0.85639398,17.166,17.19,0.04959,0.04867,-19.58,2.89,20.06,20.9,22.63,0.7526,44.29001,10.11,1.35,0.149,8.0,0.0,GAMA,,,,False,True,True
105519,1,1.0,212.34017928,1.02774133,212.34017928,1.02774133,16.458,16.45,0.05862,0.0577,-20.7,1.44,18.47,19.87,21.44,0.508,40.01001,10.34,1.12,0.139,8.0,0.0,GAMA,,,,False,True,True
105573,1,3.0,212.54694217,0.86583754,212.54694217,0.86583754,17.803,17.796,0.02647,0.02556,-17.5,2.03,20.91,21.58,23.43,0.3875,13.220001,8.54,0.41,0.13,8.0,0.0,GAMA,,,,False,True,True
105597,1,2.0,212.74040486,1.03574282,212.74040486,1.03574282,14.552,14.48,0.02632,0.02541,-20.85,7.92,19.89,21.22,22.8,0.6226,108.880005,10.41,1.05,0.13,8.0,0.0,GAMA,,,,False,True,True
105600,1,3.0,212.68783542,1.04635322,212.68783542,1.04635322,17.068,17.062,0.02637,0.02546,-18.25,3.03,21.27,22.15,23.86,0.2009,78.73999,9.14,0.77,0.127,8.0,0.0,GAMA,,,,False,True,True
105738,1,1.0,213.24685982,0.92118465,213.24685982,0.92118465,15.99,15.854,0.05381,0.05291,-21.11,2.84,19.74,21.08,22.67,0.3627,123.84,10.5,1.08,0.124,8.0,0.0,GAMA,,,,False,True,True
105962,1,3.0,214.14783845,0.88663553,214.14783845,0.88663553,16.87,16.83,0.02643,0.02555,-18.47,6.02,22.38,23.08,24.9,0.3627,52.910004,8.96,0.46,0.144,8.0,0.0,GAMA,,,,False,True,True
106016,2,1.0,214.41821353,0.92016229,214.41821353,0.92016229,16.723,16.731,0.05439,0.05351,-20.25,1.94,19.1,20.51,22.09,0.6262,59.320007,10.23,1.2,0.147,8.0,0.0,GAMA,,,,True,True,True
106042,2,3.0,214.56213817,0.89109004,214.56213817,0.89109004,14.087,14.12,0.02683,0.02597,-21.23,13.74,21.37,22.42,24.07,0.2003,111.86,10.14,0.54,0.147,8.0,0.0,GAMA,,,,True,True,True
106047,1,1.5,214.56970139,0.98625433,214.56970139,0.98625433,16.635,16.649,0.05424,0.05336,-20.33,2.03,19.55,20.64,22.28,0.4688,30.179993,10.14,1.04,0.151,8.0,0.0,GAMA,,,,False,True,True
106049,2,3.0,214.59012585,0.94959438,214.59012585,0.94959438,17.6,17.653,0.027,0.02614,-17.72,3.43,21.55,22.25,24.07,0.5555,30.419998,8.76,0.57,0.147,8.0,0.0,GAMA,,,,True,True,True
106065,2,3.0,214.51342483,0.97595195,214.51342483,0.97595195,18.244,18.179,0.02632,0.02545,-17.1,3.91,21.88,22.48,24.4,0.7071,132.09,8.34,0.36,0.155,8.0,0.0,GAMA,,,,True,True,True
106331,1,3.0,215.5132047,0.86205313,215.5132047,0.86205313,16.135,16.057,0.03684,0.03599,-19.99,7.04,21.83,22.65,24.39,0.4376,150.73999,9.61,0.51,0.116,8.0,0.0,GAMA,,,,False,True,True
106343,1,3.0,215.63340032,0.84557671,215.63340032,0.84557671,17.72,17.691,0.04092,0.04007,-18.61,2.47,21.74,22.41,24.26,0.0257,29.980011,9.12,0.59,0.105,8.0,0.0,GAMA,,,,False,True,True
106376,1,3.0,215.81120597,0.97833926,215.81120597,0.97833926,14.935,14.841,0.04095,0.0401,-21.46,8.51,21.41,22.15,23.94,0.1453,63.58,10.27,0.59,0.113,8.0,0.0,GAMA,,,,False,True,True
106389,1,2.0,215.90105241,1.00760341,215.90105241,1.00760341,16.126,16.147,0.04094,0.04009,-20.19,5.95,20.42,21.24,22.98,0.7866,63.630005,10.2,1.15,0.114,8.0,0.0,GAMA,,,,False,True,True
106507,1,3.0,216.40845775,1.01267038,216.40845775,1.01267038,16.176,16.187,0.05559,0.05474,-20.83,5.94,20.77,21.25,23.33,0.7226,28.769989,10.22,0.88,0.118,8.0,0.0,GAMA,,,,False,True,True
106549,1,0.5,216.55409249,0.8605753,216.55409249,0.8605753,14.866,14.827,0.03269,0.03186,-20.98,3.14,19.26,20.42,22.04,0.0423,84.33002,10.27,0.84,0.114,8.0,0.0,GAMA,,,,False,True,True
106616,1,3.0,216.72112294,0.96286046,216.72112294,0.96286046,15.485,15.482,0.027,0.02618,-19.88,7.29,20.37,21.21,22.94,0.7409,90.32,9.66,0.61,0.117,8.0,0.0,GAMA,,,,False,True,True
106634,1,2.5,216.81290592,0.93106037,216.81290592,0.93106037,16.916,16.918,0.05313,0.05229,-20.03,2.62,20.02,20.63,22.53,0.633,97.979996,10.15,1.19,0.113,8.0,0.0,GAMA,,,,False,True,True
106638,1,2.0,216.83485001,1.02586407,216.83485001,1.02586407,13.356,13.094,0.02651,0.02569,-22.25,22.53,21.26,22.45,24.06,0.4917,170.05,10.91,0.99,0.113,8.0,0.0,GAMA,,,,False,True,True
106717,2,3.0,217.01888659,1.00630549,217.01888659,1.00630549,14.2,14.19,0.02646,0.02564,-21.12,5.23,19.54,20.15,22.06,0.2961,113.34,10.19,0.65,0.118,8.0,0.0,GAMA,,,,True,True,True
106810,1,1.5,217.30229529,0.85043713,217.30229529,0.85043713,15.69,15.672,0.0552,0.05436,-21.37,7.21,20.31,21.7,23.27,0.7556,151.01001,10.74,1.27,0.136,8.0,0.0,GAMA,,,,False,True,True
106839,1,1.0,217.50239169,1.04608713,217.50239169,1.04608713,14.596,14.596,0.03055,0.02974,-21.08,5.91,19.93,21.45,23.01,0.3629,59.15999,10.54,1.12,0.133,8.0,0.0,GAMA,,,,False,True,True
106908,1,2.5,217.83853255,0.92962312,217.83853255,0.92962312,17.422,17.03,0.06921,0.06837,-20.6,3.46,20.12,21.07,22.75,0.8378,156.72,10.77,1.63,0.14,3.0,0.0,GAMA,,,,False,True,True
107135,1,1.0,218.67565835,0.91385247,218.67565835,0.91385247,15.542,15.35,0.07885,0.07802,-22.5,2.22,18.55,20.06,21.62,0.4301,0.8899994,11.11,1.22,0.162,8.0,0.0,GAMA,,,,False,True,True
107137,1,0.5,218.69059439,0.88867203,218.69059439,0.88867203,13.924,13.833,0.01544,0.01407,-20.31,9.42,20.54,21.86,23.44,0.2213,40.01001,10.16,1.0,0.161,8.0,0.0,GAMA,,,,False,True,True
107214,1,3.0,218.8964473,0.88883054,218.8964473,0.88883054,15.53,15.469,0.03091,0.03012,-20.21,11.25,22.26,23.06,24.81,0.3649,149.51001,9.88,0.72,0.159,8.0,0.0,GAMA,,,,False,True,True
107259,1,3.0,219.23286221,0.85038577,219.23286221,0.85038577,17.336,17.335,0.03127,0.03048,-18.37,4.47,21.2,21.89,23.72,0.748,131.70001,9.29,0.91,0.149,8.0,0.0,GAMA,,,,False,True,True
107395,1,3.0,219.80138396,0.94533379,219.80138396,0.94533379,16.321,16.334,0.03512,0.03434,-19.62,4.84,20.99,21.69,23.51,0.5557,77.390015,9.58,0.65,0.17,8.0,0.0,GAMA,,,,False,True,True
107454,1,-9.0,220.0372172,0.90752695,220.0372172,0.90752695,16.192,16.136,0.03512,0.03435,-19.83,2.68,20.25,21.53,23.12,0.0224,99.17,9.82,0.84,0.169,8.0,0.0,GAMA,,,,False,True,True
107503,1,2.5,220.44323142,0.92049724,220.44323142,0.92049724,16.295,16.295,0.03414,0.03337,-19.59,2.23,19.56,20.53,22.21,0.4146,139.82999,9.64,0.75,0.163,8.0,0.0,GAMA,,,,False,True,True
107509,1,2.0,220.57668047,0.83999824,220.57668047,0.83999824,15.962,15.536,0.05032,0.04954,-21.3,4.79,20.52,21.85,23.43,0.395,109.1,10.69,1.18,0.163,8.0,0.0,GAMA,,,,False,True,True
107528,1,0.0,220.59837241,0.90799816,220.59837241,0.90799816,13.826,13.706,0.03403,0.03327,-22.21,16.21,21.39,22.8,24.37,0.1656,75.06,11.03,1.17,0.165,8.0,0.0,GAMA,,,,False,True,True
107594,2,3.0,221.07589747,0.85401457,221.07589747,0.85401457,17.034,17.008,0.02692,0.02619,-18.35,6.19,22.5,23.23,25.03,0.4666,140.08,8.93,0.46,0.169,8.0,0.0,GAMA,,,,True,True,True
107799,1,3.0,222.67427084,0.9323861,222.67427084,0.9323861,17.158,17.042,0.0438,0.04307,-19.41,4.81,21.68,22.29,24.2,0.5851,77.350006,9.6,0.79,0.168,8.0,0.0,GAMA,,,,False,True,True
107824,3,2.0,222.86984089,0.90775146,222.86984089,0.90775146,16.071,16.019,0.04412,0.04339,-20.5,3.02,19.76,20.69,22.38,0.5378,40.630005,10.35,1.18,0.176,8.0,0.0,GAMA,,,,True,True,True
107826,1,-9.0,222.87421791,0.90117958,222.87421791,0.90117958,18.268,18.196,0.04423,0.0435,-18.29,1.59,21.15,22.37,23.98,0.1516,79.23999,9.16,0.8,0.176,8.0,0.0,GAMA,,,,False,True,True
136232,2,1.5,174.12226814,-1.73555847,174.12226814,-1.73555847,15.497,15.507,0.0488,0.04752,-21.22,3.55,19.03,20.31,21.91,0.656,141.78,10.66,1.23,0.078,8.0,0.0,GAMA,,,,True,True,True
136238,2,0.5,174.23137666,-1.74908943,174.23137666,-1.74908943,15.112,15.054,0.04857,0.04729,-21.66,9.77,21.42,22.93,24.49,0.2498,2.1600037,10.82,1.21,0.08,8.0,0.0,GAMA,,,,True,True,True
136240,2,3.0,174.24011468,-1.68477057,174.24011468,-1.68477057,15.75,15.774,0.02119,0.01937,-19.05,12.73,23.13,24.09,25.77,0.6266,136.48001,9.28,0.55,0.086,8.0,0.0,GAMA,,,,True,True,True
136263,2,2.0,174.3561013,-1.78732511,174.3561013,-1.78732511,15.455,15.474,0.04828,0.047,-21.25,8.51,20.14,21.03,22.73,0.8376,0.17999268,10.74,1.31,0.087,8.0,0.0,GAMA,,,,True,True,True
136308,2,1.5,174.49562792,-1.69464069,174.49562792,-1.69464069,17.298,17.241,0.08011,0.0788,-20.67,1.93,19.98,21.25,22.85,0.4848,41.61,10.51,1.39,0.094,3.0,0.0,GAMA,,,,True,True,True
136594,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
136602,1,0.0,175.87224669,-1.66796358,175.87224669,-1.66796358,13.784,13.635,0.04588,0.04461,-22.96,8.17,20.24,21.55,23.14,0.2395,170.63,11.37,1.25,0.071,8.0,0.0,GAMA,,,,False,True,True
136605,1,0.0,175.88107888,-1.75237351,175.88107888,-1.75237351,16.566,16.479,0.10495,0.10361,-22.08,1.86,19.71,21.18,22.75,0.1103,132.29,11.02,1.39,0.067,4.0,0.0,GAMA,,,,False,True,True
136616,1,1.0,175.90197426,-1.63834008,175.90197426,-1.63834008,15.451,15.347,0.04436,0.04309,-21.16,2.84,19.1,20.38,21.98,0.4405,111.32001,10.65,1.24,0.071,8.0,0.0,GAMA,,,,False,True,True
136624,1,1.0,175.82106147,-1.64417448,175.82106147,-1.64417448,16.263,16.256,0.04632,0.04505,-20.35,2.24,19.19,20.32,21.94,0.5198,20.51001,10.28,1.19,0.068,8.0,0.0,GAMA,,,,False,True,True
136626,1,3.0,175.82656556,-1.62936916,175.82656556,-1.62936916,16.24,16.234,0.04717,0.0459,-20.4,6.93,21.35,21.93,23.87,0.6431,37.440002,10.01,0.82,0.068,8.0,0.0,GAMA,,,,False,True,True
136672,1,3.0,175.78729674,-1.63784182,175.78729674,-1.63784182,17.913,17.913,0.04433,0.04306,-18.55,5.78,22.37,23.07,24.89,0.6896,129.91,9.16,0.69,0.065,8.0,0.0,GAMA,,,,False,True,True
136688,1,2.0,175.91220384,-1.64694057,175.91220384,-1.64694057,15.562,15.532,0.04418,0.04291,-20.97,2.93,19.38,20.24,21.96,0.4082,172.97,10.47,1.09,0.071,8.0,0.0,GAMA,,,,False,True,True
136799,1,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
136841,1,1.0,176.27655546,-1.6691871,176.27655546,-1.6691871,14.645,14.564,0.02886,0.02761,-20.96,6.05,19.71,21.19,22.75,0.4481,104.44,10.48,1.1,0.066,8.0,0.0,GAMA,,,,False,True,True
136842,1,0.0,176.29122535,-1.76259733,176.29122535,-1.76259733,14.137,13.908,0.02834,0.02709,-21.59,6.08,19.78,21.06,22.66,0.1898,6.6100006,10.8,1.19,0.063,8.0,0.0,GAMA,,,,False,True,True
136847,1,1.5,176.31263887,-1.70276387,176.31263887,-1.70276387,14.152,14.161,0.02907,0.02782,-21.39,6.8,19.68,21.41,22.96,0.2829,45.410004,10.65,1.1,0.064,8.0,0.0,GAMA,,,,False,True,True
136856,1,-9.0,176.22144426,-1.65257375,176.22144426,-1.65257375,17.886,17.895,0.02725,0.02597,-17.49,3.48,21.73,22.47,24.26,0.5694,55.48999,9.03,1.03,0.069,8.0,0.0,GAMA,,,,False,True,True
136866,1,2.5,176.25311607,-1.72605359,176.25311607,-1.72605359,17.778,17.857,0.02734,0.02606,-17.51,5.17,22.85,24.13,25.72,0.2078,14.309998,8.93,0.89,0.065,8.0,0.0,GAMA,,,,False,True,True
136871,1,0.5,176.28641994,-1.80381586,176.28641994,-1.80381586,16.464,16.415,0.02765,0.02638,-19.0,1.87,19.4,20.74,22.33,0.262,28.390015,9.73,1.15,0.062,8.0,0.0,GAMA,,,,False,True,True
136880,1,1.5,176.33707383,-1.81279084,176.33707383,-1.81279084,16.109,16.137,0.02803,0.02677,-19.33,3.79,20.1,21.03,22.72,0.5726,69.34,9.78,1.05,0.063,8.0,0.0,GAMA,,,,False,True,True
136881,1,1.5,176.33793455,-1.7229493,176.33793455,-1.7229493,16.784,16.838,0.02939,0.02814,-18.73,4.81,21.39,22.53,24.15,0.516,24.800003,9.55,1.06,0.062,8.0,0.0,GAMA,,,,False,True,True
136894,1,3.0,176.30482406,-1.8049104,176.30482406,-1.8049104,17.631,17.822,0.0286,0.02735,-17.61,10.64,24.83,26.05,27.66,0.2004,154.0,8.71,0.56,0.062,8.0,0.0,GAMA,,,,False,True,True
136917,1,3.0,176.35593806,-1.73764451,176.35593806,-1.73764451,17.199,17.228,0.0298,0.02855,-18.34,2.95,21.09,21.8,23.61,0.4178,16.930008,9.11,0.69,0.061,8.0,0.0,GAMA,,,,False,True,True
136918,1,3.0,176.35996649,-1.73230238,176.35996649,-1.73230238,17.103,17.14,0.02882,0.02757,-18.37,3.75,21.05,21.92,23.64,0.5887,172.46,9.45,1.1,0.061,8.0,0.0,GAMA,,,,False,True,True
136966,1,3.0,176.64379453,-1.68100881,176.64379453,-1.68100881,17.865,17.902,0.02811,0.02685,-17.53,1.85,20.7,21.71,23.37,0.413,59.98999,8.7,0.6,0.064,8.0,0.0,GAMA,,,,False,True,True
136980,1,3.0,176.53582628,-1.82683184,176.53582628,-1.82683184,17.864,18.052,0.02829,0.02704,-17.37,6.79,23.6,24.52,26.21,0.4369,106.69,8.63,0.57,0.066,8.0,0.0,GAMA,,,,False,True,True
137037,1,0.5,176.83746154,-1.70279378,176.83746154,-1.70279378,15.556,15.655,0.09363,0.09231,-22.62,4.81,20.64,22.12,23.69,0.218,151.0,11.24,1.35,0.075,8.0,0.0,GAMA,,,,False,True,True
137071,1,3.0,177.07578186,-1.6399319933333332,177.07578186,-1.64034866,16.084,15.876,0.01539,0.01302,-18.21,2.59,19.86,20.83,22.51,0.1996,160.67,8.71,0.27,0.077,8.0,5.0,GAMA,,,,False,True,True
137155,1,3.0,177.21879162,-1.8438994,177.21879162,-1.8438994,18.991,18.512,0.02954,0.0283,-17.03,5.76,23.97,24.71,26.5,0.2156,72.23999,8.39,0.47,0.073,8.0,0.0,GAMA,,,,False,True,True
137328,1,1.5,178.05720973,-1.64664661,178.05720973,-1.64664661,17.536,17.548,0.08567,0.08436,-20.51,2.16,20.12,21.29,22.9,0.628,55.67,10.3,1.21,0.087,3.0,0.0,GAMA,,,,False,True,True
137350,1,3.0,178.19074307,-1.64944715,178.19074307,-1.64944715,17.381,17.412,0.02132,0.01949,-17.39,2.34,20.15,20.87,22.67,0.6695,89.079994,8.67,0.62,0.085,8.0,0.0,GAMA,,,,False,True,True
137455,1,3.0,178.42838323,-1.65988418,178.42838323,-1.65988418,16.42,16.496,0.01355,0.01113,-17.36,9.15,23.02,24.26,25.86,0.1627,84.77002,8.6,0.52,0.09,8.0,0.0,GAMA,,,,False,True,True
137789,1,3.0,179.5712504,-1.72809237,179.5712504,-1.72809237,17.923,17.898,0.02096,0.01906,-16.89,3.54,22.36,22.92,24.89,0.3029,119.84,8.57,0.72,0.103,8.0,0.0,GAMA,,,,False,True,True
137809,1,2.0,179.68943657,-1.80598682,179.68943657,-1.80598682,16.573,16.611,0.08921,0.0879,-21.57,3.97,20.51,20.94,23.11,0.6844,26.029999,10.73,1.21,0.125,3.0,0.0,GAMA,,,,False,True,True
137838,1,0.0,179.84814654,-1.65452989,179.84814654,-1.65452989,13.139,12.903,0.02168,0.0199,-22.01,8.36,19.24,20.65,22.22,0.2109,30.859985,11.05,1.26,0.121,8.0,0.0,GAMA,,,,False,True,True
137841,1,1.0,179.87503948,-1.84909102,179.87503948,-1.84909102,16.935,16.925,0.02264,0.02101,-18.02,1.68,19.68,20.9,22.51,0.3017,113.25,8.9,0.59,0.11,8.0,0.0,GAMA,,,,False,True,True
137847,1,3.0,179.79836157,-1.70706399,179.79836157,-1.70706399,16.117,16.038,0.02208,0.02037,-18.87,5.64,21.9,22.61,24.42,0.3275,80.27002,9.16,0.49,0.121,8.0,0.0,GAMA,,,,False,True,True
138047,1,3.0,180.69205029,-1.79240581,180.69205029,-1.79240581,16.107,16.108,0.02137,0.01954,-18.74,6.39,20.83,21.78,23.46,0.716,78.96002,9.35,0.79,0.089,8.0,0.0,GAMA,,,,False,True,True
138065,1,3.0,180.71239054,-1.785948,180.71239054,-1.785948,16.472,16.233,0.02223,0.02054,-18.72,5.77,21.35,22.29,23.97,0.63,160.12,9.49,0.98,0.088,8.0,0.0,GAMA,,,,False,True,True
138066,3,3.0,180.72149189,-1.7791118,180.72149189,-1.7791118,17.333,16.519,0.03641,0.03517,-19.54,5.52,22.57,23.14,25.09,0.409,108.95,9.85,1.03,0.087,8.0,0.0,GAMA,,,,True,True,True
138094,4,3.0,180.7424159,-1.70225844,180.7424159,-1.70225844,17.809,17.764,0.02278,0.02117,-17.22,4.66,22.72,23.32,25.24,0.3162,150.19,8.77,0.82,0.084,8.0,0.0,GAMA,,,,True,True,True
138132,4,3.0,180.86117416,-1.81826751,180.86117416,-1.81826751,18.927,18.849,0.02252,0.02087,-16.13,3.54,23.31,24.01,25.83,0.2717,140.03,8.45,0.94,0.073,8.0,0.0,GAMA,,,,True,True,True
138161,1,3.0,181.0314595,-1.74471319,181.0314595,-1.74471319,18.368,18.335,0.02214,0.02043,-16.58,3.08,22.38,23.3,25.0,0.2909,160.95001,8.63,0.94,0.08,8.0,0.0,GAMA,,,,False,True,True
138291,1,-9.0,181.85789492,-1.66879642,181.85789492,-1.66879642,17.108,17.11,0.03809,0.03686,-19.02,1.16,18.92,20.02,21.65,0.4119,149.95,9.3,0.6,0.087,8.0,0.0,GAMA,,,,False,True,True
138381,1,3.0,182.06869219,-1.78253678,182.06869219,-1.78253678,16.076,16.102,0.02284,0.02123,-18.88,2.06,19.42,20.08,21.94,0.2599,105.84999,9.4,0.79,0.086,8.0,0.0,GAMA,,,,False,True,True
139123,1,1.5,185.79263682,-1.83807507,185.79263682,-1.83807507,16.336,16.286,0.07775,0.07649,-21.56,6.3,20.42,21.36,23.04,0.8225,102.46,10.78,1.27,0.096,3.0,0.0,GAMA,,,,False,True,True
143148,2,3.0,174.24378143,-1.39566123,174.24378143,-1.39566123,19.651,19.235,0.02811,0.02685,-16.26,2.43,22.4,22.57,26.19,0.6914,29.690002,8.32,0.71,0.09,8.0,0.0,GAMA,,,,True,True,True
143227,3,1.5,174.82896777,-1.33838523,174.82896777,-1.33838523,15.848,15.824,0.04774,0.04647,-20.87,3.74,19.65,20.72,22.36,0.6244,90.89,10.49,1.2,0.08,8.0,0.0,GAMA,,,,True,True,True
143287,1,1.0,175.15740828,-1.35142332,175.15740828,-1.35142332,16.077,16.022,0.04689,0.04562,-20.62,9.24,21.71,23.45,24.99,0.4938,38.829987,10.33,1.12,0.062,8.0,0.0,GAMA,,,,False,True,True
143291,1,0.0,175.21195232,-1.31819845,175.21195232,-1.31819845,16.37,16.352,0.04615,0.04488,-20.25,3.96,20.87,22.41,23.96,0.2274,10.839996,10.17,1.11,0.066,8.0,0.0,GAMA,,,,False,True,True
143388,1,3.0,175.81713773666667,-1.39469665,175.81672107,-1.39469665,16.541,16.524,0.00825,0.00631,-16.2,6.69,22.29,23.22,24.91,0.3048,79.92999,8.06,0.43,0.066,8.0,5.0,GAMA,,,,False,True,True
143446,1,3.0,175.9398507,-1.27659397,175.9398507,-1.27659397,18.776,17.439,0.00753,0.00567,-15.18,30.67,26.13,27.2,28.84,0.5647,135.63998,7.66,0.41,0.065,8.0,0.0,GAMA,,,,False,True,True
143499,1,3.0,176.29455726,-1.37947668,176.29455726,-1.37947668,18.368,18.377,0.0277,0.02644,-17.06,3.45,21.73,22.64,24.34,0.6934,12.25,8.74,0.87,0.068,8.0,0.0,GAMA,,,,False,True,True
143547,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
143605,1,2.5,176.74577765,-1.34222975,176.74577765,-1.34222975,17.089,17.127,0.08371,0.0824,-20.9,4.2,20.62,21.44,23.18,0.7788,24.830002,10.56,1.34,0.073,3.0,0.0,GAMA,,,,False,True,True
143735,1,0.5,177.28134048,-1.36652418,177.28134048,-1.36652418,15.951,15.911,0.08246,0.08115,-22.04,2.73,19.96,21.13,22.74,0.1249,119.83,10.95,1.24,0.079,8.0,0.0,GAMA,,,,False,True,True
143736,1,1.5,177.28799333,-1.36243627,177.28799333,-1.36243627,16.042,15.958,0.08242,0.08111,-22.01,4.49,20.14,21.26,22.89,0.6303,107.05,10.96,1.3,0.079,8.0,0.0,GAMA,,,,False,True,True
143746,1,1.5,177.35542781,-1.38160529,177.35542781,-1.38160529,16.827,16.837,0.08195,0.08064,-21.12,4.14,20.33,21.21,22.92,0.7718,145.03,10.66,1.35,0.08,3.0,0.0,GAMA,,,,False,True,True
143750,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
143814,1,3.0,177.65142792,-1.40958931,177.65142792,-1.40958931,15.406,15.425,0.0216,0.01982,-19.42,6.51,20.55,21.18,23.06,0.6064,130.59,9.34,0.44,0.085,8.0,0.0,GAMA,,,,False,True,True
143918,1,1.0,178.20696723,-1.25366683,178.20696723,-1.25366683,15.767,15.772,0.02988,0.02864,-19.84,2.43,18.83,19.95,21.58,0.5458,86.84,9.98,1.04,0.079,8.0,0.0,GAMA,,,,False,True,True
144051,1,2.0,178.87771862,-1.26141078,178.87771862,-1.26141078,14.579,14.412,0.02115,0.01929,-20.4,4.89,19.32,20.95,22.5,0.31,15.98999,10.16,0.96,0.099,8.0,0.0,GAMA,,,,False,True,True
144073,1,3.0,178.89264335,-1.35452792,178.89264335,-1.35452792,16.465,16.425,0.08335,0.08205,-21.56,3.7,20.22,20.86,22.74,0.7485,23.849998,10.6,1.04,0.103,3.0,0.0,GAMA,,,,False,True,True
144127,1,3.0,178.95534935,-1.36627344,178.95534935,-1.36627344,18.819,18.747,0.02028,0.01829,-15.94,4.4,23.31,24.6,26.19,0.3,105.85,8.21,0.76,0.099,8.0,0.0,GAMA,,,,False,True,True
144176,1,3.0,179.18251072,-1.36190986,179.18251072,-1.36190986,16.11,16.13,0.02029,0.01831,-18.61,7.93,21.37,22.01,23.89,0.6931,176.09,9.3,0.79,0.086,8.0,0.0,GAMA,,,,False,True,True
144178,1,3.0,179.18978176,-1.29334088,179.18978176,-1.29334088,14.993,14.933,0.02112,0.01925,-19.88,9.91,21.67,22.52,24.25,0.6212,122.009995,9.73,0.69,0.085,8.0,0.0,GAMA,,,,False,True,True
144197,1,3.0,179.32269553,-1.37419668,179.32269553,-1.37419668,16.792,16.792,0.02749,0.02623,-18.62,1.86,19.93,20.86,22.55,0.2114,30.179993,9.13,0.58,0.084,8.0,0.0,GAMA,,,,False,True,True
144236,1,3.0,179.35019929,-1.31320951,179.35019929,-1.31320951,17.733,17.706,0.02728,0.02601,-17.66,1.71,20.28,21.35,22.99,0.451,122.26,8.61,0.43,0.087,8.0,0.0,GAMA,,,,False,True,True
144239,1,3.0,179.38262402,-1.25293218,179.38262402,-1.25293218,14.453,14.518,0.02029,0.01831,-20.21,14.86,20.93,21.53,23.44,0.7617,140.87001,10.06,0.93,0.094,8.0,0.0,GAMA,,,,False,True,True
144243,1,3.0,179.38726334,-1.32094769,179.38726334,-1.32094769,16.531,16.419,0.02133,0.0195,-18.44,11.94,22.38,23.23,24.95,0.7328,102.450005,9.06,0.57,0.083,8.0,0.0,GAMA,,,,False,True,True
144320,1,-9.0,179.73348135,-1.43042866,179.73348135,-1.43042866,16.175,16.179,0.05328,0.05202,-20.73,1.7,19.0,19.87,21.59,0.2956,0.44000244,10.27,0.99,0.095,8.0,0.0,GAMA,,,,False,True,True
144327,1,2.0,179.67496875,-1.31409439,179.67496875,-1.31409439,15.718,15.691,0.07611,0.07482,-22.07,5.68,20.93,21.92,23.58,0.366,127.490005,10.79,1.0,0.081,3.0,0.0,GAMA,,,,False,True,True
144335,1,1.0,179.75917021,-1.31307917,179.75917021,-1.31307917,15.75,15.689,0.08253,0.08123,-22.29,5.68,20.91,22.19,23.78,0.3301,13.700012,11.09,1.31,0.076,8.0,0.0,GAMA,,,,False,True,True
144338,1,3.0,179.76724341,-1.3939038,179.76724341,-1.3939038,17.489,17.495,0.0224,0.02073,-17.43,3.57,21.47,22.61,24.24,0.47,9.820007,8.7,0.64,0.086,8.0,0.0,GAMA,,,,False,True,True
144402,2,2.5,179.96119811,-1.38195317,179.96119811,-1.38195317,14.984,14.936,0.03678,0.03554,-21.13,4.14,19.66,20.45,22.21,0.352,44.770004,10.25,0.74,0.105,8.0,0.0,GAMA,,,,True,True,True
144465,4,5.0,180.20501376,-1.25034822,180.20501376,-1.25034822,17.611,17.603,0.02285,0.02125,-17.36,1.64,20.48,21.61,23.24,0.1837,36.829987,8.64,0.6,0.117,8.0,0.0,GAMA,,,,True,True,True
144480,1,3.0,180.20407024,-1.39760312,180.20407024,-1.39760312,18.025,18.028,0.0217,0.01993,-16.82,3.71,22.31,22.87,24.83,0.4637,83.890015,8.35,0.5,0.119,8.0,0.0,GAMA,,,,False,True,True
144491,4,3.0,180.29501542,-1.29750922,180.29501542,-1.29750922,13.982,14.158,0.00672,0.00489,-18.13,20.33,21.83,22.68,24.41,0.4419,30.649994,8.88,0.5,0.138,8.0,5.0,GAMA,,,,True,True,True
