catid,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match
9388000122,1,0.0,336.8387756,-30.7344532,,,15.429993,15.387216,,0.056438055,-21.727236,,,,,,,10.817532,1.1948957,,7.0,1.0,Cluster,0.5035255,-0.5730954,1.0,False,True,True
9388000124,1,1.0,336.8883667,-30.390049,,,15.6346035,15.59882,,0.054651156,-21.513147,3.3115478,19.732738,20.973394,22.574024,0.37275204,161.41359,10.730455,1.1764431,,7.0,0.0,Cluster,0.5081522,-1.3423265,1.0,False,True,True
9388000130,1,1.5,336.7390137,-30.5920753,,,16.557579,15.641041,,0.059086096,-21.456684,33.6062,24.073092,25.794168,27.336466,0.44643113,131.70924,10.2502985,0.653203,,8.0,1.0,Cluster,0.5211823,0.5644587,1.0,False,True,True
9388000132,2,2.0,337.0153809,-30.3668022,,,16.856596,16.879827,,0.058074303,-20.220114,1.8399601,20.050676,20.990875,22.676027,0.18586405,57.705242,9.986299,0.876728,,3.0,0.0,Cluster,0.5352919,0.13014565,1.0,True,True,True
9388000135,1,0.0,337.2250977,-30.6286888,,,16.354898,15.28204,,0.059912976,-21.81124,2.8284838,20.089727,21.606186,23.166504,0.2072735,162.83725,11.590665,1.6309042,,7.0,0.0,Cluster,0.5578223,0.91908926,1.0,False,True,True
9388000137,1,0.5,336.7267151,-30.5227547,,,17.26279,17.289043,,0.05127036,-19.810534,4.114889,21.8066,22.458216,24.31996,0.4795522,125.870674,9.688077,0.7502479,,3.0,0.0,Cluster,0.5625337,-2.8012528,0.0,False,True,True
9388000139,1,2.5,336.8138733,-30.4002247,,,15.432955,15.252288,,0.058309432,-21.864971,12.044449,21.832344,22.785034,24.465302,0.5366752,105.53956,11.059165,1.3878813,,7.0,0.0,Cluster,0.5693605,0.23111218,1.0,False,True,True
9388000142,2,1.5,336.8419189,-30.3792534,,,17.425667,17.428375,,0.057591055,-19.68668,3.3009188,20.325632,21.211103,22.919645,0.80474293,50.94877,10.091671,1.2758484,,7.0,0.0,Cluster,0.5781859,-0.07743593,1.0,True,True,True
9388000146,1,1.0,337.2215271,-30.6757412,,,17.158176,17.052557,,0.05716096,-20.063967,1.2038684,18.75056,19.975328,21.5791,0.5182011,71.01963,10.226681,1.2920132,,7.0,0.0,Cluster,0.590866,-0.2622654,1.0,False,True,True
9388000156,1,0.5,336.9838257,-30.8220024,,,16.92594,16.85514,,0.059278898,-20.243847,2.9430218,21.15421,21.827496,23.669973,0.1351756,78.40468,9.912398,0.7958718,,3.0,0.0,Cluster,0.62536114,0.64717215,1.0,False,True,True
9388000160,2,1.5,337.2571411,-30.6404457,,,16.89229,16.869585,,0.054764174,-20.243677,2.931985,20.340313,21.24052,22.942429,0.55385494,34.6974,10.190783,1.1630878,,7.0,0.0,Cluster,0.6329513,-1.2936357,1.0,True,True,True
9388000190,2,2.0,336.8446045,-30.3156395,,,16.657854,16.653183,,0.05769673,-20.448397,2.8498173,20.568232,21.057634,23.122883,0.36060825,95.56748,10.094744,0.903059,,8.0,0.0,Cluster,0.71920717,-0.032034505,1.0,True,True,True
9388000195,2,0.5,336.6381836,-30.5897827,,,16.127453,16.05445,,0.058712106,-21.059603,4.627976,21.185804,22.572662,24.149004,0.06862417,74.261826,10.491165,1.1251974,,7.0,0.0,Cluster,0.7404074,0.40397182,1.0,True,True,True
9388000197,1,1.5,336.6618958,-30.6863289,,,16.554636,16.55035,,0.059263952,-20.566349,4.705365,20.381405,21.144285,22.919865,0.7756596,61.27348,10.422635,1.2643605,,7.0,0.0,Cluster,0.7427329,0.64076084,1.0,False,True,True
9388000200,2,0.0,336.6470337,-30.6610126,,,17.201466,17.197258,,0.060206037,-19.918259,1.1195574,19.27797,20.445583,22.061628,0.18189885,156.4036,10.028066,1.1260986,,7.0,0.0,Cluster,0.7519474,1.04471,1.0,True,True,True
9388000219,2,2.5,337.0762329,-30.2684536,,,14.280664,14.284997,,0.053054854,-22.820215,6.122982,19.98998,20.780462,22.538845,0.2768215,34.0777,11.104336,0.9866038,,8.0,0.0,Cluster,0.8076473,-2.0306053,1.0,True,True,True
9388000248,1,1.0,336.7014771,-30.8367252,,,16.898373,16.884012,,0.058398634,-20.232437,2.7164006,20.494015,21.58959,23.22359,0.40947175,179.06361,10.227814,1.2121145,,7.0,0.0,Cluster,0.8942326,0.26941046,1.0,False,True,True
9388000253,1,1.0,337.3681335,-30.6941185,,,17.392586,17.404905,,0.0552619,-19.707779,2.238488,20.027029,21.210646,22.823092,0.6342361,134.72232,10.012478,1.1845112,,7.0,0.0,Cluster,0.90454936,-1.0792657,1.0,False,True,True
9388000256,2,0.5,337.1757202,-30.2600555,,,15.75124,15.719666,,0.058834825,-21.395628,4.379312,20.298328,21.880156,23.433887,0.35362366,111.2924,10.682936,1.1876936,,7.0,0.0,Cluster,0.90965694,0.45663923,1.0,True,True,True
9388000266,1,0.0,336.6344299,-30.3558254,,,18.32392,18.079435,,0.057111982,-19.030632,2.192393,21.560122,22.76858,24.375692,0.19432433,123.516495,9.505051,0.9402161,,3.0,0.0,Cluster,0.93280137,-0.2833173,1.0,False,True,True
9388000269,1,1.5,336.7507324,-30.890913,,,16.106968,16.105524,,0.056839556,-21.009575,3.356025,20.405832,21.8825,23.447285,0.21776253,102.99867,10.547944,1.215972,,7.0,0.0,Cluster,0.9396587,-0.4004343,1.0,False,True,True
9388000278,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
9388000296,1,1.0,336.7592163,-30.9139957,,,16.993364,16.907131,,0.056557987,-20.204247,4.2212744,21.47748,22.703434,24.306967,0.34272215,130.01001,10.119308,1.083208,,7.0,0.0,Cluster,0.9808379,-0.52151304,1.0,False,True,True
9388000297,1,3.0,337.4267273,-30.5834579,,,16.679636,16.673868,,0.053846005,-20.419622,6.9083166,21.482382,22.178493,24.002104,0.72836936,163.56131,9.823018,0.5883942,,3.0,0.0,Cluster,0.98156923,-1.6893547,1.0,False,True,True
9388000303,1,1.5,336.9992371,-30.9672947,,,17.133114,17.117348,,0.05747963,-19.997696,1.7794318,19.984715,20.951063,22.626163,0.4345533,45.186356,10.14175,1.2089996,,7.0,1.0,Cluster,0.9946629,-0.12531184,1.0,False,True,True
9388000338,1,2.0,337.3796082,-30.3437595,,,16.3288,16.326872,,0.05783864,-20.771309,3.6166008,20.620548,21.133215,23.160856,0.40313262,105.322655,10.215581,0.8720322,,2.0,0.0,Cluster,1.0575486,0.028927859,1.0,False,True,True
9388000343,1,2.5,337.460968,-30.524231,,,14.32387,14.356595,,0.053973883,-22.744898,12.072426,21.03423,21.700499,23.549065,0.52672696,130.77939,10.800942,0.7093916,,2.0,0.0,Cluster,1.064327,-1.6342204,1.0,False,True,True
9388000360,1,2.0,336.5423889,-30.3564777,,,16.56481,16.579382,,0.059794825,-20.52796,4.128868,21.09492,21.791178,23.614672,0.46343803,151.15228,10.171141,0.9800606,,2.0,0.0,Cluster,1.099911,0.8684338,1.0,False,True,True
9388000364,2,3.0,336.5085754,-30.4120998,,,15.858962,15.826014,,0.057589576,-21.277878,10.228967,21.105345,21.486618,23.78968,0.8332611,90.17657,10.500171,0.9850807,,2.0,0.0,Cluster,1.1038117,-0.07807136,1.0,True,True,True
9388000373,1,-9.0,336.846405,-30.1482296,,,17.8904,15.83954,,0.05976738,-21.2679,2.6612325,21.576572,22.434301,24.156069,0.2824135,162.20317,10.543605,1.0500898,,2.0,0.0,Cluster,1.1198326,0.8566667,1.0,False,True,True
9388000380,1,1.0,337.3866272,-30.8507957,,,16.435982,16.40746,,0.055511322,-20.706219,5.496961,21.24153,22.208572,23.883415,0.5380336,94.01471,10.430126,1.2114067,,2.0,0.0,Cluster,1.1332227,-0.97187716,1.0,False,True,True
9388000391,2,2.0,337.0742493,-30.1302242,,,15.270413,15.288412,,0.055715933,-21.826052,5.0362453,19.864067,20.810642,22.493282,0.63735473,122.31556,10.918933,1.2581949,,2.0,0.0,Cluster,1.1482586,-0.8838009,1.0,True,True,True
9388000397,2,2.0,336.4564514,-30.4733868,,,15.8863125,15.947528,,0.059355166,-21.17021,6.931499,21.403717,22.938711,24.49707,0.4193099,149.69214,10.633221,1.2485876,,2.0,0.0,Cluster,1.165803,0.6798874,1.0,True,True,True
9388000400,1,1.5,337.0000916,-31.0363712,,,17.124395,17.204832,,0.055729013,-19.908741,5.9092517,20.974443,22.366846,23.94241,0.82435596,76.07714,10.139272,1.2338659,,2.0,0.0,Cluster,1.1696668,-0.8781713,1.0,False,True,True
9388000416,1,0.0,336.4805298,-30.3606853,,,16.456072,16.448046,,0.059886757,-20.660166,5.0766735,21.952768,22.718681,24.492304,0.04964532,125.562485,10.206653,0.9695892,,2.0,0.0,Cluster,1.213677,0.90784895,1.0,False,True,True
9388000437,2,1.5,336.4130249,-30.6591434,,,14.879681,14.891692,,0.051781468,-22.21985,5.8059163,19.207474,20.053343,21.781078,0.7750118,32.105167,11.073134,1.259593,,2.0,0.0,Cluster,1.2486154,-2.5803943,0.0,True,True,True
9388000471,1,1.0,336.3991699,-30.7065868,,,16.831015,16.726854,,0.05834084,-20.387568,4.6960697,21.51455,22.806206,24.39747,0.34045357,57.68026,10.228122,1.1350689,,2.0,0.0,Cluster,1.3034929,0.24459732,1.0,False,True,True
9388000487,2,1.5,336.954895,-30.0523987,,,17.248917,17.27029,,0.055680607,-19.841984,2.562632,20.877827,21.469604,23.392574,0.41563442,46.01073,10.063487,1.1754684,,2.0,0.0,Cluster,1.3265688,-0.89900637,1.0,True,True,True
9388000489,1,0.0,337.2184143,-31.0581875,,,15.251913,15.257901,,0.05597704,-21.856375,7.296614,21.070303,22.49712,24.068048,0.18291178,179.28351,10.893019,1.2180977,,2.0,0.0,Cluster,1.3319179,-0.77143115,1.0,False,True,True
9388000496,1,1.5,336.9580994,-30.046627,,,16.814245,16.844378,,0.055861074,-20.269981,3.5880344,21.018848,21.749605,23.547064,0.48747423,33.30236,10.251181,1.2138176,,2.0,0.0,Cluster,1.3409547,-0.8213344,1.0,False,True,True
9388000547,1,1.5,337.4577942,-30.2067051,,,17.383429,17.37057,,0.053496785,-19.742247,1.8465319,19.458017,20.31179,22.035526,0.693058,82.5519,10.095577,1.2672482,,2.0,0.0,Cluster,1.4065326,-1.8399539,0.0,False,True,True
9388000566,1,1.5,336.3699646,-30.3662453,,,16.34442,16.363153,,0.056177255,-20.745619,2.4467125,18.706266,20.015478,21.603756,0.77395654,149.0791,10.262531,0.997322,,2.0,0.0,Cluster,1.428372,-0.68528485,1.0,False,True,True
9388000571,1,3.0,337.0648804,-30.0154285,,,16.303183,16.276503,,0.057921074,-20.818632,4.4041667,21.38744,22.032772,23.900366,0.09246319,36.686726,10.030642,0.6626416,,2.0,0.0,Cluster,1.4323566,0.06433585,1.0,False,True,True
9388000597,1,0.0,336.3281555,-30.4372044,,,16.671982,16.621271,,0.058205355,-20.49593,1.7786642,19.826918,21.300192,22.865376,0.0002931055,150.27185,10.307098,1.2028694,,2.0,0.0,Cluster,1.4598238,0.1864233,1.0,False,True,True
9388000614,1,5.0,336.4302979,-30.9285774,,,19.68545,14.846418,,0.056434233,-22.259426,0.49142066,19.866262,20.827282,22.504377,0.2574289,75.488014,11.755016,1.9621516,,2.0,1.0,Cluster,1.490069,-0.5747394,1.0,False,True,True
9388000716,1,3.0,336.5015259,-31.0745964,,,15.249423,15.204651,,0.056391694,-21.889153,5.239196,20.445366,21.042719,22.959423,0.35788321,146.77863,10.465079,0.6503238,,2.0,0.0,Cluster,1.634911,-0.5930368,1.0,False,True,True
9388000773,1,0.0,336.216095,-30.7168312,,,16.70262,16.686682,,0.058830798,-20.428316,1.9839561,19.859205,21.226023,22.805258,0.24124661,75.47806,10.270209,1.1615658,,2.0,0.0,Cluster,1.6978313,0.45491102,1.0,False,True,True
9388000785,1,1.0,336.5074463,-31.1153526,,,16.785336,16.787136,,0.0565494,-20.327646,2.8970492,20.015888,21.242113,22.84559,0.59862936,18.796925,10.276214,1.2151622,,2.0,0.0,Cluster,1.7082535,-0.525206,1.0,False,True,True
9388000807,1,1.0,336.4040527,-31.0476379,,,16.172205,16.096685,,0.0582472,-21.020924,2.0912898,19.307446,20.402721,22.036802,0.37658754,68.04119,10.633996,1.3211213,,2.0,0.0,Cluster,1.7289779,0.20439184,1.0,False,True,True
