cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match,flag_finite_m_r,flag_finite_mstar,flag_finite_sigma_re,flag_finite_sigma_re_err,flag_positive_sigma_re
6821_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6821_A,6821_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,174.15315328,0.8154385533333334,174.15315328,0.81585522,14.659,15.807,0.00443,0.00375,-15.55,6.21,21.81,23.51,25.06,0.1558,23.36,7.42,-0.01,0.094,8.0,5.0,GAMA,,,,False,True,True,True,True,False,False,False
6837_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6837_A,6837_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
7139_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7139_A,7139_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7139,267.5,1.5,235.61281,3.0147629,232.86076,2.6190042,227.91887,3.23779,232.86076,2.538515,227.91617,2.3636317,228.24727,2.4224946,0.0,1.0,,,,,,,,,,,235.61281,3.229881,,,,,,,,,,,,,1,1.0,175.82830466,0.74788117,175.82830466,0.74788117,16.959,16.831,0.07697,0.07567,-20.98,1.23,18.73,20.03,21.62,0.4654,89.29,10.63,1.36,0.102,3.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7206_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7206_A,7206_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7206,277.0,1.4166666,106.10177,2.0713446,96.782265,2.1074984,97.54793,3.4475977,96.782265,2.5408862,97.520065,1.9334364,101.20757,1.9094087,0.0,1.0,0.54937583,0.014705206,,,0.69269425,0.022780344,,,0.034964137,0.008393184,104.364845,1.8333597,0.0,1.0,0.5397518,0.014969519,,,0.67574376,0.023065692,,,0.034964137,0.008393184,1,2.0,176.16409281,0.7495694,176.16409281,0.7495694,16.704,16.689,0.09471,0.09339,-21.55,3.33,20.89,21.78,23.49,0.3271,114.59,10.48,0.91,0.123,3.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7289_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7289_A,7289_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7289,84.5,12.75,205.14528,1.8772924,228.24532,2.3793814,227.96672,2.4607205,228.24532,2.5035534,224.60478,1.9799101,218.58223,2.003036,0.0,1.0,0.07193211,0.0075797155,,,0.0797666,0.0072175167,,,0.23975329,0.072991356,212.49521,1.5672057,0.0,1.0,0.05596431,0.0069313175,,,0.06152828,0.006164173,,,0.23975329,0.072991356,1,0.5,176.77502491,0.63568906,176.77502491,0.63568906,15.784,15.757,0.08813,0.08682,-22.37,4.96,20.72,22.17,23.74,0.2661,103.68,11.12,1.32,0.105,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7715_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7715_A,7715_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,179.22873399,0.72391972,179.22873399,0.72391972,15.966,15.82,0.07927,0.07798,-22.06,4.28,20.9,22.34,23.9,0.2308,164.41,10.99,1.29,0.073,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
7839_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7839_A,7839_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7839,49.5,1.25,195.76112,1.6140423,223.14139,1.5195676,232.88278,2.4152997,232.89111,2.2225654,223.14139,1.5342572,218.3499,1.3276602,0.0,1.0,0.32422054,0.004915802,,,0.32087862,0.0043023285,,,0.021447787,0.006136946,204.76128,1.5008167,0.0,1.0,0.30171224,0.0045705456,,,0.29396695,0.004307293,,,0.021447787,0.006136946,1,0.5,179.61542288,0.71790602,179.61542288,0.71790602,15.003,14.641,0.04874,0.04749,-22.1,6.95,20.5,21.92,23.5,0.2481,44.72,11.05,1.28,0.085,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7841_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7841_A,7841_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7841,152.0,0.5,178.64688,1.3856909,163.95634,1.4379294,164.38644,1.8259789,163.95634,1.2935094,164.26176,1.3325193,166.75992,1.1574533,0.0,1.0,0.5276075,0.005763804,,,0.6677948,0.008809911,,,0.018353065,0.0034451983,170.47298,1.3643739,0.0,1.0,0.54197115,0.005148543,,,0.67925894,0.007822743,,,0.018353065,0.0034451983,1,1.5,179.60882677,0.713106,179.60882677,0.713106,15.477,15.8,0.07981,0.07852,-22.07,2.74,18.99,19.99,21.65,0.6845,152.06,10.96,1.24,0.085,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7946_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7946_A,7946_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7946,240.0,0.8333333,177.09967,1.905963,176.82243,3.0034182,176.82243,2.7990422,178.00117,2.1596947,177.91025,1.8146595,176.05586,1.9567579,0.0,1.0,0.4208697,0.0085366815,,,0.47177184,0.010355506,,,0.027623381,0.008272254,176.48134,1.8079492,0.0,1.0,0.37809503,0.0087079555,,,0.42175353,0.010101035,,,0.027623381,0.008272254,1,2.0,179.93476301,0.63536903,179.93476301,0.63536903,16.429,16.443,0.10427,0.10295,-22.09,2.86,20.4,21.57,23.19,0.1931,85.07001,10.92,1.24,0.079,4.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7969_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7969_A,7969_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7969,117.5,11.166667,249.79765,2.4518452,258.8951,2.2880316,267.4869,3.1991794,258.8951,2.2900918,258.03995,2.0631237,255.9217,1.9588563,1.0,0.9281981,0.07408679,0.007457648,0.070236586,0.007457648,0.08016793,0.0068837274,0.076434724,0.0068837274,0.58738834,0.29351422,253.85786,1.9050815,0.0,1.0,0.044866167,0.00666484,,,0.05206474,0.005835871,,,0.58738834,0.29351422,1,0.5,180.03364558,0.67385043,180.03364558,0.67385043,16.037,15.976,0.08683,0.08554,-22.12,5.17,21.03,22.6,24.15,0.1772,161.03,11.02,1.32,0.091,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7992_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7992_A,7992_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7992,24.5,4.1666665,230.09796,1.9353241,236.2842,2.2942445,246.55412,3.126101,236.2842,2.444281,232.45067,2.183163,234.41197,2.0592194,0.0,1.0,0.12314851,0.0069863037,,,0.13203153,0.00648072,,,0.05896837,0.030699354,231.40596,1.9082525,0.0,1.0,0.09856497,0.0070434855,,,0.10655644,0.0065721,,,0.05896837,0.030699354,1,1.0,180.22123209,0.81384911,180.22123209,0.81384911,16.177,16.079,0.08293,0.08164,-21.91,3.15,20.07,21.49,23.06,0.3437,40.360016,10.95,1.33,0.08,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8319_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19,8319_A,8319_blue_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19.fits,8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,181.73802382,0.66292676,181.73802382,0.66292676,17.476,17.629,0.00639,0.00447,-14.63,11.72,24.51,25.45,27.14,0.2865,178.23001,7.49,0.49,0.098,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
8353_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8353_A,8353_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8353,327.5,6.3333335,71.54206,2.9498384,73.77993,2.6297455,43.024914,6.0470557,56.696404,4.8208637,58.128376,3.4509366,59.465485,2.8770432,0.0,1.0,0.2629751,0.02172825,,,0.30679783,0.024843074,,,0.1519749,0.035702825,73.0048,3.4779878,0.0,1.0,0.29373473,0.020086436,,,0.33564425,0.02261445,,,0.1519749,0.035702825,1,3.0,182.01648727,0.69760629,182.01648727,0.69760629,15.618,15.44,0.02147,0.01967,-19.41,5.37,20.9,21.43,23.42,0.3726,148.9,9.44,0.56,0.093,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8391_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8391_A,8391_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8391,88.0,29.916666,45.803898,2.786231,48.895615,3.395888,49.90774,3.2628791,47.723732,3.2099898,44.65343,2.8671994,43.27525,2.8294804,,,,,,,,,,,,,46.798386,2.6749973,,,,,,,,,,,,,1,-9.0,182.12924688,0.75259506,182.12924688,0.75259506,17.927,17.928,0.02205,0.02035,-16.98,1.64,20.79,21.81,23.47,0.1988,136.22,8.81,0.99,0.095,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8404_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8404_A,8404_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8404,138.5,29.916666,,,,,37.701527,8.79818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,182.22071426,0.70556895,182.22071426,0.70556895,17.907,17.852,0.02077,0.01885,-16.92,4.07,22.62,23.5,25.21,0.1941,161.29999,8.75,0.94,0.094,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
8485_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8485_A,8485_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8485,28.0,7.916664,57.250496,3.1702218,52.028862,4.29259,,,36.31138,6.3132806,46.750813,4.6678987,47.010082,4.52797,,,,,,,,,,,,,49.648724,4.19127,,,,,,,,,,,,,1,3.0,182.55137407,0.75402737,182.55137407,0.75402737,16.87,16.868,0.02133,0.01951,-18.0,6.17,21.48,22.31,24.05,0.7339,0.6100006,9.21,0.97,0.109,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8487_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8487_A,8487_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8487,91.0,1.75,,,215.08795,1.6302493,225.0425,1.7940043,215.35962,1.8971969,220.88782,1.7866385,218.99843,1.7060852,1.0,0.93717915,0.14430901,0.0047166394,0.13785085,0.0047166394,0.16706993,0.0034988455,0.16027462,0.0034988455,,,,,1.0,0.86234754,0.15534858,0.0046811295,0.13996112,0.0046811295,0.17720753,0.0035446677,0.16118287,0.0035446677,,,1,0.5,182.63585758,0.67750104,182.63585758,0.67750104,14.068,13.801,0.02196,0.02024,-21.13,8.0,20.2,21.74,23.3,0.2416,79.20001,10.59,1.13,0.107,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
8488_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,8488_A,8488_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,8488,76.5,29.83333,74.450806,1.0931453,74.87751,1.2785623,75.9822,1.2740746,75.75952,1.2072397,73.94739,0.9400875,74.31857,0.9682899,0.0,1.0,,,,,,,,,,,74.450806,0.8895921,0.0,1.0,,,,,,,,,,,1,0.0,182.62970446,0.67277654,182.62970446,0.67277654,16.811,16.533,0.02171,0.01996,-18.36,1.42,19.28,20.69,22.27,0.0642,65.130005,9.51,1.17,0.108,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8490_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8490_A,8490_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8490,262.5,29.916666,37.460342,8.280126,51.163467,6.8988376,,,44.653404,9.320196,,,37.519608,8.592331,,,,,,,,,,,,,46.803246,5.9424224,,,,,,,,,,,,,1,-9.0,182.64151656,0.67148036,182.64151656,0.67148036,18.158,17.511,0.02173,0.01998,-17.42,2.42,21.95,22.67,24.48,0.2819,66.0,9.05,1.05,0.107,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8562_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8562_A,8562_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,182.79066959,0.78576049,182.79066959,0.78576049,18.262,18.174,0.02167,0.01991,-16.73,4.57,23.24,23.89,25.75,0.2816,29.330017,8.42,0.62,0.101,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
8570_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8570_A,8570_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8570,30.5,29.33333,61.472374,6.88494,60.80895,6.602768,,,,,53.99392,8.259665,59.83239,7.5657415,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,182.83285894,0.8041979244444445,182.83285894,0.80475348,16.583,16.282,0.02237,0.02072,-18.67,4.8,23.51,24.26,26.05,0.3522,31.709991,9.27,0.7,0.103,8.0,5.0,GAMA,,,,False,True,True,True,True,True,True,True
8703_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8703_A,8703_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8703,314.0,0.5,,,123.092255,0.8114544,117.57236,1.8187026,122.23639,1.452439,120.297905,1.0245812,120.909904,0.9231805,1.0,0.8937142,0.62371546,0.0033705602,0.5927227,0.0033705602,0.84858465,0.006028725,0.7897003,0.006028725,0.014560672,0.0022649495,,,1.0,0.89803594,0.6199005,0.0033843191,0.5902118,0.0033843191,0.8402153,0.005982192,0.78432953,0.005982192,0.014560672,0.0022649495,1,2.0,183.62176665,0.83011375,183.62176665,0.83011375,14.142,14.139,0.02213,0.02044,-20.79,8.39,19.9,20.87,22.54,0.5779,133.38,10.36,1.01,0.123,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
8706_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8706_A,8706_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8706,252.0,1.9166666,,,84.14371,1.2620416,84.42541,2.893166,86.18004,2.0346932,87.64273,1.6279703,87.91457,1.491486,1.0,0.18207362,0.73728627,0.009449487,0.30489472,0.009449487,1.0011752,0.009723431,0.33656442,0.009723431,,,,,1.0,0.63939,0.37621692,0.009843127,0.28229097,0.009843127,0.4228804,0.010038769,0.31761992,0.010038769,,,1,2.0,183.68935606,0.74353151,183.68935606,0.74353151,14.813,14.803,0.02243,0.02079,-20.15,41.19,23.45,25.34,26.87,0.5565,53.600006,10.0,0.88,0.112,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
8865_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8865_A,8865_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8865,27.5,29.75,214.67976,2.8171825,219.0812,3.2735994,224.5206,4.490466,217.83223,3.4015484,220.67503,2.8595033,214.40337,2.6707373,0.0,1.0,0.03996329,0.009923504,,,0.044664282,0.00909983,,,0.93219995,0.65482867,220.67503,2.7528417,,,,,,,,,,,,,1,0.0,184.03133471,0.65632281,184.03133471,0.65632281,16.685,16.556,0.0744,0.07314,-21.16,2.5,20.28,21.96,23.5,0.1,23.950012,10.66,1.32,0.098,3.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
8913_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8913_A,8913_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8913,266.0,29.916666,40.725315,6.3395805,41.773724,7.3521166,63.697006,11.204946,43.54794,8.328554,,,35.606842,6.562324,,,,,,,,,,,,,36.12285,8.226043,,,,,,,,,,,,,1,3.0,184.2203975,0.76586734,184.2203975,0.76586734,17.81,17.83,0.02998,0.02878,-17.78,2.79,21.48,22.36,24.07,0.4537,57.149994,8.79,0.58,0.096,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
9032_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9032_A,9032_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,184.68921379,0.77289916,184.68921379,0.77289916,17.35,17.063,0.06513,0.06389,-20.33,2.82,20.95,22.09,23.71,0.2277,8.400009,10.3,1.27,0.078,3.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
9062_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9062_A,9062_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9062,345.5,1.1666666,134.576,1.008032,131.01753,0.881577,132.24287,1.399667,131.79372,1.1729764,131.7991,0.9403881,131.22804,0.93940026,0.0,1.0,0.18260397,0.006073213,,,0.21377836,0.005911522,,,0.030021513,0.017608259,132.36812,0.84029007,0.0,1.0,0.14099313,0.0055092596,,,0.14771673,0.00508008,,,0.030021513,0.017608259,1,1.0,184.85513709,0.63095782,184.85513709,0.63095782,14.856,14.756,0.02323,0.0217,-20.3,4.37,18.65,20.14,21.7,0.6783,166.16,10.23,1.1,0.087,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
9067_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9067_A,9067_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9067,163.0,14.999999,85.01414,7.160212,82.43796,6.838829,,,74.90542,8.919783,91.853165,7.6044254,85.90512,6.9771175,,,,,,,,,,,,,87.11606,6.961434,,,,,,,,,,,,,1,2.5,184.84232311,0.74546904,184.84232311,0.74546904,17.432,17.356,0.0349,0.03369,-18.59,5.77,21.94,22.95,24.61,0.6775,142.01999,9.44,0.98,0.081,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
9112_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9112_A,9112_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,184.95087573,0.73306455,184.95087573,0.73306455,16.969,16.832,0.04289,0.04168,-19.56,4.57,21.57,22.38,24.13,0.5636,111.37,9.48,0.57,0.079,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
9115_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9115_A,9115_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9115,252.5,29.916666,56.7912,6.298083,49.387634,5.881614,63.91594,9.052621,54.574875,7.473705,48.39798,5.786631,48.58548,6.0287867,,,,,,,,,,,,,50.065075,5.781859,,,,,,,,,,,,,1,3.0,184.9647231,0.81033712,184.9647231,0.81033712,17.71,17.731,0.03499,0.03378,-18.21,2.88,20.42,20.95,22.95,0.7863,111.01,9.06,0.71,0.074,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
9163_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9163_A,9163_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9163,263.0,5.5,,,42.93711,3.5046816,,,,,,,36.07664,4.2972937,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,185.14066079,0.78805793,185.14066079,0.78805793,14.426,14.219,0.00926,0.00706,-18.78,10.38,21.5,22.13,24.01,0.4474,110.63,9.22,0.59,0.072,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
9352_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,9352_A,9352_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,9352,258.5,29.916666,61.734783,3.2944233,61.45804,3.4196026,54.002213,5.515745,65.792656,3.5661554,61.404217,3.4472713,59.943447,3.422715,0.0,1.0,0.13991036,0.038267203,,,0.1629671,0.034487132,,,0.8165605,0.5026332,66.05631,3.3296983,0.0,1.0,0.1321842,0.03645996,,,0.14595631,0.031636108,,,0.8165605,0.5026332,1,2.5,185.977189,0.83052966,185.977189,0.83052966,16.99,17.005,0.02557,0.02426,-18.23,2.07,19.88,21.24,22.82,0.4717,111.22,8.97,0.58,0.116,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
14552_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,14552_A,14552_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,14552,181.5,1.3333315,178.1168,1.2021414,176.38171,1.8892391,173.7848,2.2880485,176.38171,1.8142122,177.32614,1.5631021,175.23514,1.3979793,0.0,1.0,0.31397676,0.0066388403,,,0.34870714,0.007078961,,,0.03437183,0.013881165,179.10672,1.5086726,0.0,1.0,0.23600453,0.0072778636,,,0.26263896,0.007397976,,,0.03437183,0.013881165,1,1.0,212.02462596,0.74927355,212.02462596,0.74927355,15.875,15.84,0.07767,0.07673,-21.97,2.94,19.47,20.99,22.55,0.4359,178.62,10.87,1.19,0.131,3.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
14555_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,14555_A,14555_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,14555,319.5,11.5,42.54079,3.8155005,40.88272,3.679672,41.84832,5.4663496,,,38.050735,4.3755054,41.970383,4.060187,,,,,,,,,,,,,43.756847,3.1920798,,,,,,,,,,,,,1,3.0,212.11498064,0.70028963,212.11498064,0.70028963,16.678,16.565,0.02651,0.02559,-18.73,4.52,21.23,21.87,23.74,0.4631,119.28,8.92,0.27,0.138,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
14697_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,14697_A,14697_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,14697,17.0,1.8333334,154.79999,2.0774527,151.90634,3.5914435,151.90634,3.819172,155.39758,3.265811,155.4542,2.3731542,153.59058,2.1479015,0.0,1.0,0.36139402,0.012222682,,,0.41459182,0.0138563,,,0.015775777,0.008598251,153.49796,2.3874683,0.0,1.0,0.39900193,0.011227378,,,0.4529233,0.013215294,,,0.015775777,0.008598251,1,2.0,212.62800359,0.63346957,212.62800359,0.63346957,16.573,16.455,0.10778,0.10682,-22.15,3.12,20.35,21.47,23.1,0.5266,166.38,10.91,1.2,0.143,4.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
14753_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,14753_A,14753_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,14753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
14812_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,14812_A,14812_blue_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10.fits,14812,293.0,2.1666667,70.63781,1.0463942,66.28432,1.046329,60.636364,1.6970372,60.828304,1.3296864,63.497936,1.2189968,65.36708,1.0867317,0.0,1.0,0.27468327,0.008910918,,,0.31350625,0.009716796,,,0.05479545,0.012306427,69.19216,1.0195088,0.0,1.0,0.27495843,0.008908574,,,0.3153983,0.009969815,,,0.05479545,0.012306427,1,2.5,212.93002347,0.72011054,212.93002347,0.72011054,15.979,14.987,0.02568,0.02475,-20.28,5.0,20.31,21.21,22.92,0.2436,107.46001,9.99,0.81,0.134,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
15165_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01,15165_A,15165_blue_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01.fits,15165,153.5,1.0833334,180.07,2.1366076,200.09235,2.099691,206.43332,2.550893,200.09235,2.1853163,195.86264,1.7701513,192.59335,1.4430128,0.0,1.0,0.45352075,0.007738761,,,0.48498487,0.007852599,,,0.039652277,0.008365774,184.93167,1.5909852,0.0,1.0,0.41174662,0.006851401,,,0.43226808,0.00720436,,,0.039652277,0.008365774,2,0.5,214.38117277,0.77164277,214.38117277,0.77164277,15.493,15.443,0.07844,0.07753,-22.4,6.24,21.12,22.59,24.16,0.1203,148.83,11.15,1.31,0.147,8.0,0.0,GAMA,,,,True,True,True,True,True,True,True,True
15165_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20,15165_B,15165_blue_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20.fits,15165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,214.38117277,0.77164277,214.38117277,0.77164277,15.493,15.443,0.07844,0.07753,-22.4,6.24,21.12,22.59,24.16,0.1203,148.83,11.15,1.31,0.147,8.0,0.0,GAMA,,,,True,True,True,True,True,False,False,False
15218_blue_red_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06,15218_A,15218_blue_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06.fits,15218,152.0,8.0,,,39.817066,4.8454046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,214.59860441,0.7321288,214.59860441,0.7321288,16.401,16.458,0.02653,0.02566,-18.86,9.29,22.68,23.54,25.26,0.4478,121.6,9.11,0.45,0.145,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
