cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match,flag_finite_m_r,flag_finite_mstar,flag_finite_sigma_re,flag_finite_sigma_re_err,flag_positive_sigma_re
9091700141_blue_red_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01,9091700141_A,9091700141_blue_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01.fits,9091700141,39.0,10.583333,,,60.020775,3.209122,59.658566,4.845996,56.64969,3.5161698,60.020775,3.2050352,57.486897,3.0762541,,,,,,,,,,,,,59.27085,3.3872461,,,,,,,,,,,,,1,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
9091700143_blue_red_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01,9091700143_A,9091700143_blue_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01.fits,9091700143,246.5,4.5,106.495285,1.6756476,105.4148,1.9201742,107.33954,3.047065,109.231964,2.5816696,105.4148,2.0329978,103.29856,1.7828335,0.0,1.0,0.12623698,0.016194686,,,0.13516624,0.015688682,,,,,109.957535,2.3883064,,,,,,,,,,,,,1,0.5,355.5830994,-29.1169186,,,16.829548,16.816782,,0.04945938,-20.004885,1.9173241,19.696259,21.156239,22.72301,0.29463366,61.634205,10.140102,1.1818638,,7.0,0.0,Cluster,0.60471636,-0.8510212,1.0,False,True,True,True,True,True,True,True
9091700152_blue_red_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08,9091700152_A,9091700152_blue_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08.fits,9091700152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.5,355.5560303,-29.3960094,,,16.272482,16.250078,,0.05222918,-20.568098,4.139082,21.27751,21.982992,23.799246,0.06332209,7.49212,10.189335,0.9723797,,8.0,0.0,Cluster,0.63457346,0.7534367,1.0,True,True,True,True,True,False,False,False
9091700152_blue_red_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21,9091700152_B,9091700152_blue_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21.fits,9091700152,42.5,3.25,44.296978,2.2632713,48.665184,2.3480372,51.206467,3.0265973,51.11983,2.6688662,48.665184,2.4456823,47.255257,2.496655,1.0,0.78922486,0.32279575,0.02021862,0.27640632,0.02021862,0.38738477,0.01865092,0.33292854,0.01865092,0.09026085,0.024665216,45.02748,2.247109,1.0,0.81932026,0.3126652,0.020419098,0.2742379,0.020419098,0.36991486,0.018472001,0.3256208,0.018472001,0.09026085,0.024665216,3,2.5,355.5560303,-29.3960094,,,16.272482,16.250078,,0.05222918,-20.568098,4.139082,21.27751,21.982992,23.799246,0.06332209,7.49212,10.189335,0.9723797,,8.0,0.0,Cluster,0.63457346,0.7534367,1.0,True,True,True,True,True,True,True,True
9091700152_blue_red_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04,9091700152_C,9091700152_blue_8_Y16SBR1_P001_AP0917T033_2016_09_28-2016_10_04.fits,9091700152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.5,355.5560303,-29.3960094,,,16.272482,16.250078,,0.05222918,-20.568098,4.139082,21.27751,21.982992,23.799246,0.06332209,7.49212,10.189335,0.9723797,,8.0,0.0,Cluster,0.63457346,0.7534367,1.0,True,True,True,True,True,False,False,False
9091700200_blue_red_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21,9091700200_A,9091700200_blue_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21.fits,9091700200,78.0,14.0,,,51.109318,7.528539,61.131474,9.211228,59.50231,10.1266775,51.109318,7.312461,51.5906,6.456531,,,,,,,,,,,,,39.57163,5.7117963,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
9091700201_blue_red_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21,9091700201_A,9091700201_blue_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21.fits,9091700201,310.5,5.0,51.246136,3.7567835,54.013798,4.043777,65.587906,7.5910063,54.187634,4.268856,53.502422,3.435197,53.161793,3.8728337,,,,,,,,,,,,,51.82145,3.4617317,,,,,,,,,,,,,1,-9.0,355.6957092,-29.2478256,,,17.498556,17.467154,,0.052940845,-19.35058,3.4431057,21.816706,22.513958,24.33666,0.2926262,120.09935,9.544797,0.8246975,,3.0,0.0,Cluster,0.78245044,1.1649985,1.0,False,True,True,True,True,True,True,True
9091700202_blue_red_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01,9091700202_A,9091700202_blue_7_Y14SAR4_P011_A0917T010_2014_05_23-2014_06_01.fits,9091700202,35.5,2.9166667,77.89403,3.4030914,66.35374,3.5875003,66.3201,8.627945,56.3716,5.3071394,66.35374,3.4473865,68.55378,3.1168745,1.0,0.9111673,0.4833939,0.024394851,0.4588477,0.024394851,0.616408,0.034148376,0.5807792,0.034148376,0.06752242,0.018752027,74.056,2.960666,1.0,0.9426297,0.4726684,0.025020665,0.45716757,0.025020665,0.62715966,0.035435986,0.60388803,0.035435986,0.06752242,0.018752027,1,3.0,355.5774231,-29.0275688,,,16.084873,16.044603,,0.05073235,-20.766441,5.341134,21.258224,21.98694,23.785864,0.283895,29.053762,10.069292,0.7326765,,8.0,0.0,Cluster,0.785456,-0.11310359,1.0,False,True,True,True,True,True,True,True
9091700225_blue_red_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21,9091700225_A,9091700225_blue_7_Y14SAR5_P001_A0917T011_2014_07_17-2014_07_21.fits,9091700225,102.5,9.333333,,,46.761703,2.106375,59.233425,3.9360635,50.99018,3.147278,46.761703,2.2599976,46.73231,2.4689963,,,,,,,,,,,,,50.227997,2.6934485,0.0,1.0,0.20792753,0.03300686,,,0.22549915,0.033709366,,,0.10480778,0.05152757,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
9091700231_blue_red_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08,9091700231_A,9091700231_blue_7_Y13SBR2_P001_APMCC0917T001_2013_10_02-2013_10_08.fits,9091700231,243.0,1.25,143.90028,2.3240216,140.97919,2.2854545,142.42296,3.9239905,139.49577,2.855126,140.9279,2.3686047,139.75676,2.1601546,0.0,1.0,0.49305782,0.011649529,,,0.64268905,0.017302135,,,0.035601545,0.008039778,140.11491,2.4614499,0.0,1.0,0.4387042,0.012503313,,,0.5569395,0.016661676,,,0.035601545,0.008039778,1,1.5,355.7219238,-29.285429,,,16.181967,16.164042,,0.05448054,-20.663181,3.661534,19.739592,20.962961,22.567013,0.6557767,59.803223,10.479834,1.2930508,,7.0,0.0,Cluster,0.86305743,2.054463,1.0,False,True,True,True,True,True,True,True
